id,category,value
1,A,100
2,A,100
3,A,100
4,A,100
5,A,100
6,A,100
7,A,100
8,A,100
9,A,100
10,A,100
11,A,100
12,A,100
13,A,100
14,A,100
15,A,100
16,A,100
17,A,100
18,A,100
19,A,100
20,A,100
21,A,100
22,A,100
23,A,100
24,A,100
25,A,100
26,A,100
27,A,100
28,A,100
29,A,100
30,A,100
31,A,100
32,A,100
33,A,100
34,A,100
35,A,100
36,A,100
37,A,100
38,A,100
39,A,100
40,A,100
41,A,100
42,A,100
43,A,100
44,A,100
45,A,100
46,A,100
47,A,100
48,A,100
49,A,100
50,A,100
51,A,100
52,A,100
53,A,100
54,A,100
55,A,100
56,A,100
57,A,100
58,A,100
59,A,100
60,A,100
61,A,100
62,A,100
63,A,100
64,A,100
65,A,100
66,A,100
67,A,100
68,A,100
69,A,100
70,A,100
71,A,100
72,A,100
73,A,100
74,A,100
75,A,100
76,A,100
77,A,100
78,A,100
79,A,100
80,A,100
81,B,50
82,B,50
83,B,50
84,B,50
85,B,50
86,B,50
87,B,50
88,B,50
89,B,50
90,B,50
91,C,25
92,C,25
93,C,25
94,C,25
95,C,25
96,D,25
97,D,25
98,D,25
99,D,25
100,D,25
